salary_in_usd
85847
30000
25500
175000
120000
222200
136000
219000
141000
147100
90700
130000
100000
213660
130760
170000
150000
110000
275000
174000
230000
143200
225000
156400
200000
90000
72000
253200
342810
184590
162500
105380
64500
20984
204620
110680
270703
221484
212750
185000
262000
245000
275300
183500
218500
199098
203300
123600
189110
139000
258750
231500
166000
172500
110500
238000
176000
237000
201450
309400
159100
115000
81500
280000
210000
280100
168100
193500
65062
69751
300000
96578
185900
129300
140000
48289
38631
105000
70000
163196
145885
217000
202800
104300
145000
65000
165000
132300
179170
94300
152500
116450
247300
133800
203000
133000
220000
56536
289800
214000
179820
143860
283200
188800
214200
252000
129000
155000
161800
141600
342300
176100
85000
138784
83270
75000
204500
138900
318300
212200
95000
195000
160000
20670
46178
42533
168400
105200
190000
54685
241000
66837
15000
85066
57723
250000
228000
186000
180000
53654
205000
215000
247500
172200
224000
17022
68318
75020
128000
329500
269600
80000
203500
152000
239000
122900
191765
134236
112000
88256
135000
105500
293000
148500
240500
123700
152900
117100
173000
113000
260000
184000
149500
127075
219535
146115
199000
162000
221000
153000
187000
179000
109000
142000
198800
125000
86000
106000
40663
50000
280700
150450
51753
250500
159500
130001
71907
93918
51962
257000
147000
222000
133200
156000
304000
195895
102772
240000
183600
289076
202353
157750
104650
68000
60000
181000
154000
146000
64200
56100
208450
170550
171250
113750
153600
100500
182500
121500
203100
114500
72914
92700
61800
258000
167500
106500
59888
286000
207000
223250
178600
353200
249300
297300
198200
151800
317070
170730
21461
108000
134000
124000
124500
148700
125600
120250
183000
423834
216000
143865
115092
132000
208049
128500
149600
102000
106800
80481
151000
7000
42923
143000
78990
51039
109371
111000
265000
235000
121093
73546
60400
172309
60093
83500
52500
201036
134024
62000
58000
172000
163800
126000
139500
109400
205600
105700
239748
159832
186300
102500
149040
113900
172600
107900
180180
106020
376080
213120
206500
121600
194500
115500
115934
81666
206000
138000
92000
48000
87000
299500
245100
115100
73900
141288
94192
55000
18238
210914
116704
185700
169000
110600
193000
136850
276000
178500
59020
75116
195652
101228
136956
128750
106250
188500
117000
123405
104500
127000
94000
210550
153300
161500
119500
148750
146300
214618
153400
122700
123900
340000
64385
121700
310000
149076
82365
97218
48609
85500
97750
201000
122000
116990
82920
142200
205920
171600
78000
116000
43809
127599
103294
34320
9289
93800
71897
15806
40000
29453
104000
152380
121904
128280
106900
192000
107309
170500
72946
54365
160288
127467
124740
65488
72200
64980
179975
86466
168000
167580
87980
202000
148000
269000
158000
197000
290000
172800
300240
200160
370000
115447
137500
323300
184700
153088
183310
144000
66000
126277
126500
272000
259000
17779
19522
288000
60761
215050
198000
114000
209300
182200
227000
55800
51508
226700
133300
151902
9727
63000
253750
169200
213580
163625
12000
375000
101943
16414
231250
138750
284310
